N,0,1,2,3,4,5,6,7,8,9,min
900,17.273723,32.684293,33.21807,24.573965,17.899325,17.514343,33.588522,33.013663,27.499134,26.78418,17.273723
3310,62.832781,76.340578,65.112394,72.354022,63.79802,64.706955,64.663926,67.433073,61.403411,67.27907,61.403411
5720,95.495076,104.552153,98.939654,108.120073,106.710804,91.17294,117.784066,96.322803,103.98643,104.059478,91.17294
8130,147.238353,151.625639,162.489105,145.294338,128.89385,204.618934,154.135464,217.899207,154.743944,132.820786,128.89385
10540,286.384794,267.45289,293.292015,216.956657,194.573883,239.565141,260.797237,236.276796,236.930751,236.722848,194.573883
12950,415.863571,536.716081,420.659573,303.294163,408.02591,393.068225,340.802117,363.018819,255.05742,254.545309,254.545309
15360,427.723515,621.264819,654.23075,531.692443,499.208872,466.018034,524.626457,494.732428,511.262132,530.834598,427.723515
17770,474.525848,954.168789,673.419006,915.809136,868.219224,657.797213,441.550012,601.399685,746.507288,496.78309,441.550012
20180,765.329881,889.004299,941.107787,810.20902,984.048954,1076.815075,732.417424,849.395487,645.75677,768.129082,645.75677
22590,986.928164,1159.604429,901.44077,1257.23846,992.543695,668.995656,1056.250491,1057.680872,907.586859,892.905913,668.995656
25000,1302.676242,1737.909318,1332.598679,1007.423143,1640.655744,1514.997706,970.707034,1087.650449,829.835688,1479.480047,829.835688
