N,0,1,2,3,4,5,6,7,8,9,min
900,1.137734,1.621812,1.619298,0.679358,0.652259,0.653726,0.664482,1.633546,1.612384,0.677263,0.652259
3310,9.685965,9.807841,9.725497,10.104531,4.531869,10.336409,3.921865,10.062346,9.756087,4.047721,3.921865
5720,9.684568,23.711663,9.659495,24.008843,9.664035,23.496828,24.582459,9.57778,23.667173,24.562065,9.57778
8130,44.032893,47.285946,17.823593,43.621102,17.8956,43.277686,18.084803,43.458787,43.601476,27.496358,17.823593
10540,55.897944,57.386706,28.11593,27.458433,28.686194,28.130527,32.19934,27.479877,29.029965,29.063489,27.458433
12950,40.773632,70.339218,46.939816,70.286487,40.247927,40.84543,70.38692,48.475303,70.770216,50.899258,40.247927
15360,85.83678,64.325988,85.129485,64.419508,55.086037,56.463899,56.079835,56.43722,85.269396,63.77222,55.086037
17770,74.22485,102.566802,83.049732,74.9612,83.438963,102.542217,82.534364,100.24364,74.327813,73.456947,73.456947
20180,96.249007,119.899642,95.727563,120.324284,102.712304,124.21172,101.464219,122.687217,95.192099,93.092911,93.092911
22590,120.593551,116.702344,143.043248,125.18465,144.244819,126.369336,145.464368,145.20609,147.537923,117.704607,116.702344
25000,139.437025,170.344031,139.588116,169.543249,147.461474,166.560343,139.698402,167.531154,170.041032,141.355864,139.437025
