N,min,Generation,Map,Merge,Sort,Reduce
900,9.656906,0.001016,0.003516,0.000479,0.004135,0.000317
3310,42.073965,0.002917,0.010378,0.001052,0.027057,0.000489
5720,95.395088,0.005034,0.016722,0.001629,0.071145,0.000715
8130,173.552036,0.006925,0.023545,0.002261,0.139727,0.000922
10540,274.904966,0.008819,0.030437,0.003458,0.230871,0.001156
12950,399.041176,0.010733,0.037154,0.003916,0.345705,0.001356
15360,545.336962,0.012587,0.044019,0.004498,0.482505,0.001558
17770,714.347839,0.014496,0.050822,0.005131,0.641944,0.001793
20180,907.365799,0.016413,0.057689,0.005758,0.825341,0.001995
22590,1121.796846,0.018256,0.064591,0.00643,1.030117,0.002235
25000,1359.68709,0.020153,0.071298,0.006988,1.258608,0.002465
