N,min,Generation,Map,Merge,Sort,Reduce
900,13.554096,0.000883,0.00651,0.000755,0.003238,0.001979
3310,23.836136,0.002742,0.007977,0.000918,0.009822,0.002186
5720,40.313005,0.005031,0.009863,0.001144,0.021878,0.002207
8130,62.168837,0.006967,0.011523,0.00122,0.039963,0.0023
10540,93.160152,0.008983,0.014012,0.001397,0.06619,0.002387
12950,130.838156,0.010711,0.016503,0.00168,0.099298,0.002461
15360,169.008017,0.012772,0.017321,0.001754,0.134531,0.002424
17770,207.484007,0.014523,0.018739,0.001904,0.169574,0.002556
20180,299.175024,0.017554,0.023371,0.002389,0.25287,0.002787
22590,385.601044,0.018358,0.026888,0.002678,0.334616,0.002869
25000,462.534189,0.020362,0.02876,0.002883,0.407423,0.002909
