N,T,iter,Generation,Map,Merge,Sort,Reduce
900,29.923916,0,0.001266,0.004113,0.000542,0.007954,0.007117
900,29.795885,1,0.001261,0.004136,0.000554,0.007957,0.007039
900,29.849052,2,0.001246,0.004107,0.000552,0.007975,0.007064
900,29.937983,3,0.001257,0.004175,0.00054,0.007955,0.007087
900,29.940844,4,0.001259,0.004175,0.000566,0.007967,0.007111
900,29.825926,5,0.001251,0.00418,0.000552,0.007944,0.0071
900,30.10416,6,0.00129,0.004218,0.000555,0.007962,0.007163
900,30.038834,7,0.001248,0.004152,0.000556,0.007917,0.007159
900,29.945135,8,0.001259,0.004144,0.000557,0.007936,0.007064
900,30.040026,9,0.001258,0.004222,0.000568,0.007911,0.007149
3310,114.928961,0,0.004597,0.004821,0.000566,0.081923,0.012573
3310,100.394964,1,0.00455,0.004772,0.000563,0.068851,0.01118
3310,100.054026,2,0.004579,0.004794,0.000556,0.068477,0.011179
3310,98.268986,3,0.004569,0.004688,0.00054,0.066995,0.011018
3310,97.901106,4,0.004552,0.004727,0.000549,0.066641,0.011005
3310,97.965956,5,0.004549,0.004718,0.000544,0.066768,0.010972
3310,97.769022,6,0.004564,0.004643,0.000536,0.066612,0.010995
3310,97.830057,7,0.004552,0.004625,0.000541,0.06673,0.010994
3310,97.619057,8,0.004542,0.00467,0.000543,0.066591,0.010937
3310,97.476959,9,0.004577,0.004665,0.000547,0.066256,0.010999
5720,204.138041,0,0.007436,0.004133,0.000576,0.166987,0.014911
5720,194.889069,1,0.00742,0.00416,0.000537,0.158153,0.014409
5720,194.296837,2,0.007459,0.004133,0.000543,0.157692,0.014383
5720,194.362879,3,0.007432,0.004117,0.00054,0.157686,0.014372
5720,194.429874,4,0.007499,0.004155,0.000549,0.157698,0.014416
5720,194.416046,5,0.007431,0.004104,0.00054,0.157719,0.014382
5720,194.425106,6,0.007593,0.004102,0.000541,0.157701,0.014374
5720,194.22102,7,0.007443,0.00416,0.000551,0.15767,0.014395
5720,194.385052,8,0.007439,0.004125,0.000536,0.157708,0.014392
5720,194.195032,9,0.007486,0.004079,0.000549,0.157674,0.014383
8130,361.313105,0,0.010286,0.004487,0.000527,0.316209,0.018373
8130,361.326933,1,0.010401,0.004448,0.000545,0.3162,0.018376
8130,361.571074,2,0.010328,0.004476,0.000559,0.316255,0.018417
8130,360.977888,3,0.010331,0.004355,0.000557,0.316111,0.018348
8130,361.207962,4,0.010339,0.00442,0.000573,0.316165,0.018416
8130,361.406088,5,0.010483,0.004468,0.000569,0.316164,0.018378
8130,361.46307,6,0.010368,0.004456,0.000557,0.316236,0.018462
8130,362.185955,7,0.01101,0.004477,0.000546,0.316338,0.018435
8130,354.61998,8,0.006926,0.003729,0.000463,0.31591,0.017678
8130,354.836941,9,0.006926,0.003737,0.000472,0.315924,0.017756
10540,566.529989,0,0.008787,0.003627,0.000462,0.521559,0.021821
10540,575.780153,1,0.014463,0.004223,0.000546,0.52222,0.022523
10540,566.900969,2,0.008817,0.003589,0.000454,0.521675,0.021823
10540,574.651003,3,0.013821,0.004237,0.000546,0.522028,0.02247
10540,574.290037,4,0.013392,0.004214,0.000548,0.52214,0.022482
10540,574.820042,5,0.013447,0.004297,0.000565,0.522163,0.022501
10540,574.593067,6,0.013769,0.004204,0.000548,0.52215,0.022431
10540,575.030088,7,0.013972,0.004205,0.000552,0.522078,0.02248
10540,574.679136,8,0.013506,0.004235,0.000557,0.522073,0.022504
10540,574.56398,9,0.013524,0.004193,0.000551,0.522118,0.022418
12950,863.320112,0,0.016507,0.00423,0.000544,0.803378,0.026516
12950,865.394831,1,0.01727,0.004409,0.000539,0.803762,0.02685
12950,863.517046,2,0.016589,0.00424,0.000546,0.803496,0.026532
12950,854.509115,3,0.010662,0.003588,0.000466,0.802943,0.025784
12950,863.560915,4,0.016236,0.004193,0.000542,0.803411,0.026598
12950,863.834858,5,0.016304,0.004252,0.00055,0.803709,0.02669
12950,867.194891,6,0.016467,0.00419,0.000559,0.807061,0.026762
12950,861.376047,7,0.010653,0.003611,0.000462,0.80951,0.025972
12950,860.983133,8,0.01067,0.00361,0.000444,0.809079,0.026014
12950,870.076895,9,0.016517,0.004169,0.000528,0.809907,0.026762
15360,1264.022827,0,0.019855,0.00416,0.000521,1.195729,0.031069
15360,1263.622046,1,0.019639,0.004138,0.000536,1.195764,0.03097
15360,1252.829075,2,0.01256,0.003552,0.000455,1.194985,0.03016
15360,1253.087997,3,0.012535,0.003596,0.000464,1.194924,0.030164
15360,1253.10111,4,0.012527,0.003539,0.000463,1.194788,0.030125
15360,1253.08919,5,0.012615,0.003548,0.000461,1.194882,0.030283
15360,1252.977133,6,0.01251,0.003548,0.000457,1.194893,0.030244
15360,1253.574133,7,0.012499,0.003571,0.000458,1.19531,0.030291
15360,1252.873898,8,0.0125,0.003561,0.000459,1.194717,0.030174
15360,1252.761126,9,0.012511,0.003537,0.000455,1.194699,0.030126
17770,1572.392941,0,0.022316,0.005394,0.000968,1.493402,0.035093
17770,1559.608936,1,0.014363,0.004476,0.000902,1.492743,0.03433
17770,1559.149027,2,0.014457,0.004429,0.000893,1.492628,0.034215
17770,1558.738947,3,0.014374,0.004449,0.000901,1.492344,0.03416
17770,1559.561968,4,0.014383,0.00443,0.000888,1.492584,0.03431
17770,1573.101997,5,0.022886,0.005636,0.000969,1.493156,0.035063
17770,1572.645903,6,0.022117,0.005502,0.00098,1.493816,0.035103
17770,1571.931839,7,0.022501,0.00542,0.000976,1.492899,0.034897
17770,1571.219921,8,0.022562,0.005415,0.000939,1.492962,0.034966
17770,1572.094917,9,0.022266,0.005372,0.000989,1.493381,0.035051
20180,2006.865978,0,0.025222,0.004441,0.000549,1.922538,0.039353
20180,1993.700027,1,0.016247,0.003675,0.000474,1.921473,0.038492
20180,2006.72698,2,0.025531,0.004434,0.000557,1.922282,0.039188
20180,2006.585836,3,0.025126,0.004372,0.000547,1.922347,0.039279
20180,1993.960857,4,0.016228,0.003686,0.000459,1.921826,0.038482
20180,1994.240999,5,0.01629,0.003686,0.000482,1.921636,0.038493
20180,1993.345022,6,0.016262,0.003705,0.000459,1.921425,0.03839
20180,2007.633209,7,0.025699,0.004391,0.000567,1.922705,0.039329
20180,2007.22003,8,0.025499,0.004457,0.000551,1.922356,0.039329
20180,2006.986141,9,0.02565,0.004412,0.000541,1.922282,0.03926
22590,2498.113871,0,0.026963,0.004113,0.000523,2.408457,0.043297
22590,2485.110998,1,0.018122,0.00358,0.000463,2.406509,0.042577
22590,2484.34782,2,0.018113,0.003608,0.000462,2.40594,0.042555
